subject,body,label
computers and the humanities : vol . 31 no . 2,"* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * just published just published just published just published * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * computers and the humanities volume 31 no . 2 1997 the most recent issue of computers and the humanities includes a special section entitled "" debates in humanities computing "" . this issue 's debate addresses a fundamental question underlying work on automatic word sense disambiguation : the viability of definitively distinguishing senses of polysemous words . yorick wilks , a well-known researcher in the area of automatic sense disambiguation and computational semantics , presents his view of word senses which supports the viability of current approaches to automatic word sense disambiguation . an opposing position is taken by lexicographer adam kilgarriff , who argues that definitive sense division is so difficult , even for humans , as to be virtually impossible , and describes an empirical study supporting his claim . table of contents - - - - - - - - - - - - - - - - - special section - - - - - - - - - - - - - - debates in humanities computing : the viability of automatic word sense disambiguation senses and texts yorick wilks i do n't believe in word senses adam kilgarriff other articles in this issue : - - - - - - - - - - - - - - - - - - - - - - - - - - - - an estonian morphological analyser and the impact of a corpus on its development heiki - jaan kaalep mtscript : a multi lingual text editor malek boualem and stephane harie - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - computers and the humanities the official journal of the association for computers and the humanities editors - in - chief : nancy ide , dept . of computer science , vassar college , usa daniel greenstein , executive , arts and humanities data services , king 's college , uk for subscriptions or information , consult the journal 's www home page : http : / / kapis . www . wkap . nl / or contact : dieke van wijnen kluwer academic publishers spuiboulevard 50 p . o . box 17 3300 aa dordrecht the netherlands phone : ( + 31 ) 78 639 22 64 fax : ( + 31 ) 78 639 22 54 e - mail : dieke . vanwijnen @ wkap . nl members of the association for computers and the humanities ( ach ) receive a subscription to chum at less than half the price of an individual subscription . for information about ach and a membership application , consult http : / / www . ach . org / , or send email to chuck _ bush @ byu . edu .
",0
skytop sales - - save over $ 100 on a digital camera !,"if you ' ve been searching for a high-resolution , feature-laden digital camera that produces images with incredible levels of detail and color depth , and which has a price tag that won't break the bank , well , you ' ve probably wondered if such an unlikely animal exists . . . it does . and skytop sales has it . http : / / 207 . 13 . 239 . 101 / cgi-bin / rtr ? 91byvpm1scp9pdbo3lc0hxy5klcz3c announcing the svmini - 209 from sound vision - - a digital camera that utilizes the latest technology to deliver ultrahigh-quality images ( 2000x1600 pixels ! ) at an affordable price . never heard of sound vision ? you probably know their products . sound vision is a camera manufacturer . their customers , in most cases , are large companies who brand the cameras sound vision makes and resell them as their own . one such company , for example , is selling a sound vision camera under its own very well-known label ; that camera retails for $ 479 . ( or more . the middlemen have to make their dough , of course . ) that same camera under the original manufacturer ' s label is called the sound vision svmini - 209 . through skytop sales , it 's only $ 349 . by sacrificing the big label and eliminating the middlemen , you save eighty bucks on the identical unit . and to sweeten the deal even further , we ' ll include $ 125 worth of memory enhancements at no additional cost . to have a look at the svmini - 209 , please visit our web site by following the link below . ( and bear in mind that you ' ve probably already seen this camera , if you ' ve been doing any comparison shopping . it just had a different name , and cost more . ) http : / / 207 . 13 . 239 . 101 / cgi-bin / rtr ? 91byvpm1scp9pdbo3lc0hxy5klcz3c the most camera your money can buy . . . sound vision uses new cmos sensor technology at the heart of its svmini - 209 to deliver greatly increased resolution at a lower cost . in fact , sound vision 's cameras were the first on the market to use cmos sensors instead of the traditional ccd sensors used in other digital cameras . the benefits of cmos technology : - higher resolution - - the svmini - 209 captures huge 3 . 2 megapixel images ( that 's 2000x1600 pixels ! ) - lower cost than ccds - - get more camera for the dollar - lower power draw - - dramatically increased battery life knock-out images and accompanying sound can be stored either in camera internal memory or on removable flash memory cards , both linear and sandisk . level - selectable jpeg compression allows you to find the right balance of image quality and memory economy . ( the module which allows the svmini - 209 to use sandisk cards , called the minidisk option , normally is a separate purchase . like we said : we ' re throwing it in for free . that , and a free 2 mb sandisk card - - a combined value of $ 125 ! ) taking great photos with the svmini - 209 is effortless . in addition to the red , green , and blue color receptors common to other digital cameras , the svmini - 209 features a fourth receptor for teal , which dramatically increases possible color depth ( and , in fact , more closely mimics the capabilities of the human retina ) . a sophisticated auto-exposure algorithm prevents the over-saturation of highlights while still preserving shadow detail . an automatic electronic flash guarantees that your shots will be lit to perfection , every time . the experts know . . . byte magazine reviewed the svmini - 209 in its november ' 97 issue , and gave the camera the highest rating , five stars . byte says , "" . . . it delivers ultra-high quality digital images at a relatively bargain price . "" ( the bargain price they ' re talking about is $ 479 . we ' re offering $ 100 + savings over the bargain price . ) to learn more about this outstanding camera , and for a comprehensive discussion of its features , ( and to order ! ) follow the link below : http : / / 207 . 13 . 239 . 101 / cgi-bin / rtr ? 91byvpm1scp9pdbo3lc0hxy5klcz3c prices for digital cameras span the spectrum . compare its features and benefits with other cameras , and you ' ll find that the svmini - 209 is way more camera for way less cost . compare its features and benefits with the same camera under a popular brand name , and you ' ll find that the svmini - 209 is the identical camera for waaay less cost . thanks for your time ! your friends at skytop sales p . s . digital images have so many fantastic applications : spice up a business proposal or presentation , design a dazzling web site , email photos to friends and family all over the world , create your own photo art using one of the popular graphics programs on the market . the possibilities are endless . . . and with the ultrahigh-quality images of the svmini - 209 in hand , you ' re limited only by your imagination . p . p . s . our agreement with soundvision allows us to sell the svmini - 209 for $ 349 for a limited time only . please act quickly . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - this mailing is intended to be of interest to a large audience and to communicate a valuable offer . if you have no interest in this offer , be advised that other valuable promotions will be featured in future mailings which may be of interest to you . however , if you have no desire to receive offers of value from us in the future , please click the link below to remove yourself from our mailing list . http : / / 207 . 13 . 239 . 101 / cgi-bin / rem ? vbanaqeanvsuprqpnpphx copyright 1998 , skytop sales . the information contained in this email message may not be published , broadcast , rewritten , or otherwise distributed without the express written consent of skytop sales .
",1
stop paying those high major airline fares,"stop paying those inflated airfare prices ! ! ! on december 29 , 1997 usa today reported that business fares are expected = to rise approximately 20 % in 1998 . this is on top of a 15 % gain from 1997 . = excursion or vacation fares cannot be far behind ! ! ! many people believe that they can find the cheapest airfares by surfing through the many on-line reservation systems available on the internet . = 20 don ' t be fooled ! ! these reservation systems are owned , operated and = 20 maintained by the airlines themselves and are often slow to be updated . = 20 they also do n't include many of the deeply discounted fare programs = offered by the airlines . = 20 how often have you called the airlines or your local travelagent and = 20 asked them to give you their cheapest fare , only to find that the person = sitting next to you has gotten their seat for much less . "" the insider 's = guide to cheaper airfares "" will introduce you to other ticketing alternatives = and strategies that the major airlines do n't want you to know about . these = sources offer deeply discounted seats that are on the same flights that airlines = are charging others twice as much . among the things this valuable book will show you are : * * * how to get the airlines to notify you about discounts before they go = public . = 20 * * * ticket strategies airlines do n't want you to know . = 20 * * * how to save at least 50 % on international travel . = 20 * * * which reservation systems work best with which hubs and airlines , . = 20 * * * how to get domestic tickets for 40 % to 60 % off . whether your goal is to go on that vacation of a lifetime or to bring a = loved = 20 one home to the family , "" the insider 's guide to cheaper airfares "" will = show you that reasonable airfares from anywhere in the country are easily and affordably within your reach . = 20 why give all of your hard earned money to the airlines when you can = spend that = 20 money on fun once you arrive . send $ 9 . 95 ( check , cash , or money order ) make check payable to : ^ ^ ^ travel ^ ^ ^ guide $ 16787 beach blvd . suite # 225 huntington beach , ca . 92647 don ' t delay , save on your next trip today ! ! = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3dorder = form = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d = 3d yes ^ ^ ^ travel ^ ^ guide $ , i wish to take you up on your offer , please rush me "" the insider 's guide to cheaper airfares "" today . i have filled out this form for you = 20 to help expedite my order . name : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ address : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ city : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ state _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ zip _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ e - mail address : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ = 20 i wish to pay by : check _ _ _ _ cash : _ _ _ _ money order : _ _ _ _ send your order for $ 9 . 95 = 20 ^ ^ ^ travel ^ ^ guide $ ^ ^ ^ 16787 beach blvd suite # 225 huntington beach , ca . 92647
",1
for your urgent attention,"if you ' re still so happy with your job , how come you ' re reading this email ? to search our database of over 5000 it , telecoms , finance and sales positions , check out www . taps . com / jobs , europe 's leading online recruitment website . taps . com is a free and confidential service .
",1
major varieties of english,"second international conference on major varieties of english maven ii lincoln university campus , england september 9-11 , 1999 conference theme : the english language today : functions and representations plenary speakers include : nicholas coupland ( university of wales , cardiff ) eric fudge ( university of reading ) salikoko mufwene ( university of chicago ) paper proposals are invited on all aspects of the use of major varieties of english today , in particular on the following themes : formal and functional developments and changes in english mediated uses of english international profile of english english and corporate culture english language in literature english and world communication competing target varieties fo learners text and corpus analysis etc . submission of paper proposals abstracts of paper proposals should be no more than 250 words in length , and should be double spaced . please submit three copies , one with name , affiliation and personal details ( address for correspondence , phone / fax numbers , e . mail address ) . please mention at the bottom what area or theme you believe your abstract covers ( e . g . pragmatics , media language , dialectology , political sociology etc . ) send abstracts to reach no later than dec . 15 , 1998 to : p . b . nayar faculty of arts and technology lincoln university campus brayford pool lincoln , ls6 7ts united kingdom abstracts may also be submitted as an attachment to e . mail ( one copy with all information required ) to : pnayar @ ulh . ac . uk registration full conference package : registration + on campus accommodation for two nights + two breakfasts 150 registarion only : 120 daily registration : 45 conference dinner on 10 / 9 / 99 25 ( optional ) all rates include lunch ( es ) and refreshments on the days of attendance . there will be a late surcharge on registrations received after june 1 , 1999 all presenters will receive detailed information package . for enquries and additional information , contact : the conference secretary - maven ii faculty of arts and technology lincoln university campus brayford pool lincoln , ln6 7ts u . k . tel : + 44 1522 886251 fax : + 44 1522 886021 e . mail : pnayar @ ulh . ac . uk information and updates also available on our website at www . lincoln . ac . uk / communications
",0
"re : 6 . 1078 , re : 1053 , english only ( bilingualism )","i am writing to ask alexis manaster ramer a simple question concerning the universality of certain phenomena : how come about a hundred languages are spoken in present-day russia despite the attempts to russify everyone ? this linguist seems to be very active , yet unfortunately he tends to generalize the information he is aware of , judging by his contribution to the discussion on he / she pronouns and his remarks concerning russian linguistic policies . i would like to tell him of a common example concerning various ethnicities in russia : in 1553 czar ivan the dreadful incorporated the mari , mordvin ( finnic ) , chuvash and tatars ( turkic ) nationalities into his state . nowadays these peoples live in the very heart of russia on the middle volga , and , apparently , enjoy their culture and languages . they have also contributed to the culture and language of the dominant nation . the infamous cossacks ( farmers living on the borders of the state and ready to resort to arms to protect them , a sort of michigan militia ) have preserved their language while acquiring a lot of culture from , say , mountaineers of the caucausus . yet they did not assimilate those peoples who still speak their languages . to draw parallels between nostratic universal processes and the language policies of russia might hardly be considered an appropriate example . it would rather be the opposite of the desired . valeri vassiliev st . john 's
",0
"avail for review : phonology , semantics , dong , interpreting","the books listed below are in the linguist office and now available for review . if you are interested in reviewing a book ( or leading a discussion of the book ) ; please contact our book review editor , andrew carnie , at : carnie @ linguistlist . org please include in your request message a brief statement about your research interests , background , affiliation and other information that might be valuable to help us select a suitable reviewer . please do not simply provide a url for an electronic cv or web page . these will be ignored . phonology pier marco bertinetto , livio gaeta , georgijetchev & david michaels ( eds ) , certamen phonologicum iii . papers from the third cortona phonology meeting , april 1996 . torino , rosenberg & sellier 1997 , pp . 291 , price lit . 63 . 000 ( approximately us $ 37 ) . isbn 88-7011 - 717 - 0 . semantics pier marco bertinetto , il dominio tempo-aspettuale . demarcazioni , intersezioni , contrasti . torino , rosenberg & sellier 1997 , pp 252 , price lit 48 . 000 isbn 887011726x ( approximately us $ 25 . 50 ) contents - introduzione i . demarcazioni - aspect vs . actionality - statives , progressives , habituals - the progressive as a ' partialization ' operator ii . intersezioni - neutralizations and interactions in temporal-aspectual categories - metafore tempo-aspettuali - l ' interazione tra azionalita e aspetto nella perifrasi ' continua ' iii . contrasti - le strutture tempo-aspettuali dell ' italiano e dell ' inglese - le perifrasi abituali in italiano e in inglese - l ' espressione della ' progressivita / continuita ' : un confronto tripolare ( editor 's note : the reviewer of this book must be fluent in both italian and english ) . dong language long yaohong and zheng guoqiao ( translated by d . n . geary ) ( 1998 ) the dong langauge in guizhou province china . sil / u texas austin . interpreting / translation harris , brian ( compiler ) ( 1997 ) translation and interpreting schools . language international world directory . john benjamins : amsterdam .
",0
call me tonight . . . . .,"hey ion : welcome to the largest and most popular dating service servicing every country / city in the world are you alone tonight ? ? ? ? ? ? ? ? call now ! ! ! 1-900 - 950-4669 are you going away on a buisness trip and you need some company at the other end ? ? ? ? ? ? find local singles who would like to meet single people just like you . call today and locate the girl or guy of your dreams ! ! ! ! ! ! we have over 3000 new girls daily just in the usa call toll free 1-888 - 448-4688 * * ladies call free * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * if you would like to be removed from our future mailings , please reply with the subject remove , and your email will be entered in the global remove filter . thank you . * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
",1
accept credit cards and watch sales skyrocket !,"increase online sales up to 200 % http : / / 3626046468 / ut / merchant / index2 . html accept credit cards over the internet * * * no setup fees good credit / bad credit / no credit * * * * no problem * * * * ! ! ! it just does n't matter - everyone gets approved limited offer so take advantage of it ! ! we specialize in servicing the following : * multilevel marketing * mail order / phone sales * at home business * internet based business * new business * small business whatever ! ! ! we do it all ! ! ! everyone is welcome ! http : / / 3626046468 / ut / merchant / index2 . html what can do it for your company ? ? ? ? > > > > internet service secure real-time on-line transactions make it as easy as possible for your customers to purchase your products or services . we use ssl security ( best on the net today ) . now tell me if this does n't sound intriguing , lets say a customer visits your website and decides they want to buy your product ( s ) or services ( s ) . they would simply enter their credit card information and receive an approval within 5 seconds . that 's all there is to it ! ! ! from that point on , the sale is complete and the money will be directly deposited into your business checking account within 24 to 48 hours . so you will have liquid assets available almost immediatly ! ! ! ! your customer will be e-mailed a receipt and you will be e-mailed an invoice slip , all instantaneously . now , since this program is automated for 24 hours a day 7 days a week , you will be recieving orders and maiking money in your sleep ! ! ! ! ! it ' s just that easy ! ! ! ! what makes us so special ? ? ? ? ? * we process over $ 4 billion in credit card transactions every year . * we have over 100 , 000 merchants online and growing . * we offer secured on-line real time transactions . * we offer 24 hour customer service 7 days a week in 17 different languages . * we offer complete training and installation through our technical support group . * we offer a life time warranty and unlimited upgrades . * we help make money for your company and your customer . http : / / 3626046468 / ut / merchant / index2 . html - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - this is an one time mailing .
",1
free trial membership,"the latest in adult technology ! ! ! brand new xxx adult site free trial membership please visit the latest in live video conferencing . 1000 channels of hardcore ! ! live rooms ! ! ! young dancers ! ! ! large picture gallery ! thousands of pictures ! ! come and visit our site for a great experience . http : / / 209 . 125 . 67 . 144 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
",1
subliminally seduce women instantly ! !,"win over any woman you want in less than an hour . = 20 guaranteed ! start dating women that until now were ' out of your league ' guaranteed ! i know it sounds too good to be true , but it is now = a0 possible for you = to achieve in minutes , what typically takes most men days , months , and sometimes even years to accomplish . . . seducing a woman ! skeptical ? read this . then visit our web site to learn the facts ! scientists worldwide agree that , in certain applications , subliminal = mind control can accomplish amazing things . you might have heard how in = the 1950s subliminal advertising was used in movie theaters to induce an = unnatural craving for popcorn and an unquenchable desire for coke . there are many types of subliminal thought control . = a0 certain = subliminal influence techniques work amazingly well , while others hardly work at = all ! if you do n't think modern subliminal technology can change your life , = think again ! for less than the cost of a single good meal you can = instantly and permanently change the way women treat you . guaranteed ! and the best part is that ( due to a legal loophole ) this is perfectly = legal ! if your luck with women has been anything other than great , find out the = facts by visiting our web site . once you have received and tested one of our audio tapes you will be = amazed ! do n't make the mistake of confusing the antiquated technology used in = the past with newly developed digital mastering techniques . we have = spent years developing computer enhanced techniques that enable us to = produce mood altering products that work on any woman , anywhere , = anytime . . . guaranteed ! you cannot turn women into mindless sex slaves with this or any other technology . you can , however , induce at will , natural urges that would = otherwise lie dormant . it is simply a fact that any natural human desire = such as sleep , hunger or sexual impulses can be greatly intensified by = using subliminal commands . when you play these recordings in the presence of any female who has a = normal sexual appetite , look out ! = a0 she won't know what has come over = her ! it is completely undetectable ! even women you barely know , when subjected to this invisible aphrodisiac = will find you more interesting and better looking . they will find = themselves mysteriously drawn and sexually attracted to you . = guaranteed ! ! each of our musical recordings comes with a second 'd emo ' tape ( free of = charge ) that has the subliminal messages brought forward for you to hear = loud and clear . do n't let your girlfriend hear this one ! warning : we have given you the opportunity to be more successful with any woman you choose . if you do not at least check out = the facts for yourself , you will only be cheating yourself out of happiness and romance . to find out more about these amazing tapes at our web site at : http : / / www . ivpco . com / ~ speccass / index . html or , if your mail reader supports hyper-links , click here if you have any problems accessing our main page , try our new mirror = site at : http : / / www . emptyshell . com mirror site * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * this message was sent by overseas internet promotions , inc . of miami . = if you have a product or service you want to market on the internet , = call us today @ 305-668 - 7502 * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *
",1
sum : syntax texts,"content - length : 3080 a little over a week ago , i posted a query to linguist asking for suggestions for a textbook for an undergraduate course in syntax . i would like to thank the following people for their kind replies : robert beard , philip carpenter , kevin b cohen , brian lindsey , alan munn , helene ossipov , john phillips , and robin sackmann . i also received replies from several people asking about my reluctance to deal with cambridge university press , and several others asking why i have decided not to use napoli 's * syntax * again . i have replied to both of these groups privately . the query about syntax texts was worded in such a way as to eliminate napoli and radford from consideration . with that limitation imposed , haegemann 's * introduction to government and binding theory * was recommended by three people . none of the other books was mentioned more than once . however , some of these single mentions were most useful for me because they brought to my attention works that i had not heard of before or ones that i might not have considered otherwise . the complete list is given below . my thanks again to all who responded . steve seegmiller linguistics department montlciar state university ( seegmiller @ apollo . montclair . edu ) - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - charles bird and timothy shopen , article on maninka in timothy shopen ( ed . ) languages and their speakers ( or . . . status ) . university of pennsylvania press . keith brown & jim miller , syntax - a linguistic introduction to sentence structure . harper collins academic , 2nd ed . 1991 . vivian cook , chomsky 's universal grammar , 2nd ed . blackwell 's 1996 . elizabeth cowper , concise intro to syntactic theory . liliane haegemann , an introduction to government and binding theory , 2nd ed . blackwell 's lieb , hans - heinrich : integrational linguistics . in : jacobs , j . , et . al ( eds . ) : syntax . an international handbook of contemporary research . berlin ; new york : de gruyter , 1993 . lieb , hans - heinrich : integrational linguistics . in : lieb , hans - heinrich ( ed . ) : prospects for a new structuralism . ( = current issues in linguistic theory [ cilt ] , 96 ) . amsterdam ; philadelphia : benjamins , 1992 . ronald wardhaugh , understanding english grammar : a linguistic aproach . blackwell 1995 . gert webelhuth ( ed . ) , government binding theory and the minimalist program .
",0
syntax,"understanding syntax tallerman , maggie ( university of durham , uk ) ; understanding syntax ; published september 1998 c . 192pp pb 0 340 60377 1 c . 12 . 99 hb 0 340 70000 9 c . 35 . 00 arnold publishing provides a complete introduction to the main categories and constructions associated with sentence structure - the syntactic component of the grammar of human language . assuming no prior knowledge of linguistics , the book discusses and illustrates all the major terms and concepts . contents : what is syntax ? / words belong to different classes / looking inside sentences / head words and phrases / how do we identify constituents ? / relationship within the clause / syntactic processes . readership : undergraduates in linguistics tel : + 44 ( 0 ) 171 873 6355 fax : + 44 ( 0 ) 171 873 6325 e - mail : milly . neate @ hodder . co . uk
",0
functions of language www home page,"content - length : 574 dear colleagues , this is to inform you that the journal devoted to functional approaches to language , * functions of language * , now has its own 3w home page . the url is : http : / / allserv . rug . ac . be / ~ dnoel / folhome . html there you will find links to the journal 's statement of purpose , some notes for contributors , its style sheet , and the tables of contents of past and forthcoming issues . do have a look ! dirk noel contragram dept . of english university of gent rozier 44 b-9000 gent belgium phone : + 32 9 264 3789 fax : + 32 9 264 4179 e - mail : dirk . noel @ rug . ac . be
",0
summary : french creole apres for progressive,"the original question concerned the use of apres in french creoles for the progressive rather than the perfect which would be expected on typological grounds . the enormous response precludes listing all who answered . it would seem that the moral of the story is that one should n't assume what is normal in any given case . in this instance , it was simply incorrect to assume that standard french en train de was normal ; in fact , it would appear that standard french has innovated in this respect . according to respondants , the apres construction for the progressive is found in many vernacular french 's including canadian , swiss and cajun . one would assume that the vernacular is the source of the creole progressive . the semantics of apres is only strange on the assumption that the form means "" after . "" it does appear that the vernacular progressive preserves the original sense of a - pres , which in fact conforms to expectations based on cross-linguistic study . in standard french , the corresponding expression is aupres . many respondents drew my attention to the "" after ving "" construction of english dialect . h . rogers at uoft informs me that the construction is a perfect and not a progressive ; i have since confirmed this analysis . in addition to welsh , scots gaelic has an "" after ving "" perfect that is the likely source of the construction . apparently the preposition in scots gaelic ( air ) now means "" on "" outside of the progressive construction ( an deigh "" after "" ) . thanks again to all who responded . it was an interesting exercise .
",0
relevance theory workshop,"relevance theory workshop 8-10 september 1998 , university of luton , england call for papers and registration the second relevance theory workshop aims to bring together those interested in cognitive approaches to communication , in particular ( but not exclusively ) relevance theory . the workshop will feature refereed and invited papers , including a keynote address by professor deirdre wilson . papers contributions are invited for papers on the following topics : ( 1 ) non-truth - conditional meaning ; ( 2 ) conceptual and procedural encoding ; ( 3 ) metarepresentation and interpretive use ; ( 4 ) the nature of and relation between the distinctions : semantics / pragmatics and explicature / implicature ; ( 5 ) critiques of relevance theory ; ( 6 ) any other topic dealt with from a relevance theoretic perspective or which has some bearing on relevance theory . papers on topics ( 1 ) - ( 5 ) will be presented in special topic panels and should be 20 minutes . other papers will be allocated 40 minutes for presentation and discussion ( either 20 + 20 , or 30 + 10 ) . complete papers will be distributed in advance of the workshop in order to increase the chances for useful feedback . instructions for contributors in order to distribute proceedings in advance , full-length papers are invited rather than the more usual abstracts . papers may take the form of pre-publication drafts , and should be a maximum of 6 pages in length , including references and a short ( ten line ) abstract . manuscripts should be typed ( 12 point font ) , single-spaced , with 1 inch ( 2 . 5 cm ) margins on all sides , and no page numbering . three copies of the manuscript should be submitted , one with the author 's name and two anonymously . please also include the following information on a seperate sheet : name , address ( postal and e-mail if available ) , affiliation , title of paper , the topic to which your paper relates ( see ( 1 ) - ( 6 ) above ) , and a contact telephone number . manuscripts should be submitted to : dr . steve nicolle , middlesex university , trent park , bramley road , london n14 4yz , united kingdom deadline for submission : 24 april 1998 contributors will be informed of the status of their paper by the end of may 1998 . additional information the second relevance theory workshop is scheduled to take place immediately prior to the autumn 1998 meeting of the linguistics association of great britain ( 10-12 september 1998 , also at the university of luton ) . the lagb meeting features a keynote address by professor dan sperber and a workshop on experimental pragmatics . luton is easily accessible from london and has its own international airport . registration form if you wish to register , please complete this form and send it back with ( evidence of ) your payment to the following address : dr . vlad zegarac dept . of linguistics university of luton faculty of humanities 75 castle street luton bedfordshire lu1 3aj united kingdom name : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ address for correspondence : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ e-mail address : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ i would like to register for : ( please circle a or b ) a - - - - - - - - - - the whole conference package b - - - - - - - - - - the conference fee + the options as indicated below ( please put a tick on the line next to your chosen options ) the "" package "" price : stlg95 ( if sent to arrive by the end of june 1998 ) this includes : conference fee ( obligatory ) stlg20 _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ options ( included in the package ) : lunch ( 8th sept . ) stlg7 . 50 _ _ _ dinner ( 8th sept . ) stlg7 . 50 _ _ _ accommodation ( inc . breakfast ) ( 8 / 9 sept . ) stlg20 _ _ _ _ _ lunch ( 9th sept . ) stlg10 _ _ _ _ _ dinner ( 9th sept . ) stlg10 _ _ _ _ _ accommodation ( inc . breakfast ) ( 9 / 10 sept ) stlg20 _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ extra options ( not included in the package ) : accommodation ( inc . breakfast ) ( 7 / 8 sept . ) stlg20 _ _ _ _ _ accommodation ( inc . breakfast ) ( 10 / 11 sept . ) stlg20 _ _ _ _ _ lunch ( 10 sept . ) stlg7 . 50 _ _ for payments made after the end of june 1998 add an extra stlg10 methods of payment : return a hard copy of this form and either : 1 . enclose a cheque ( made payable to university of luton ) or 2 . complete and sign the following instruction : please debit stlg _ _ _ _ _ _ from my visa / mastercard number _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ valid until _ _ _ _ _ _ _ _ _ _ name in print : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ signature : _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ or 3 . pay by direct bank transfer to the university of luton , midland bank plc . , george street , luton , beds , united kingdom account number : 81276360 sort code : 40 - 30 - 32 ( please encolse a bank receipt ) ( hard copies of this registration form may also be obtained from vlad zegarac at the above address . )
",0
